subject,selfish_FP_PO,selfish_TP_PO,selfish_FP_NE,selfish_TP_NE,equity_FP_PO,equity_TP_PO,equity_FP_NE,equity_TP_NE
children,0.231972222,0.486520468,0.200013889,0.474388889,0.268027778,0.035672515,0.299986111,0.030055556
children,0.211277778,0.472305556,0.226486111,0.523972222,0.288722222,0.040777778,0.273513889,0.049444444
children,0.145877193,0.4685,0.160625,0.496898148,0.362894737,0.036666667,0.339375,0.070231481
children,0.179361111,0.455916667,0.132333333,0.500083333,0.320638889,0.064027778,0.367666667,0.036583333
children,0.179319444,0.495569444,0.202263889,0.49825,0.320680556,0.031708333,0.316902778,0.02125
children,0.267736111,0.510513889,0.194041667,0.505180556,0.233513889,0.035902778,0.305958333,0.046486111
children,0.181861111,0.466041667,0.169125,0.498944444,0.325138889,0.036458333,0.330875,0.054777778
children,0.15880117,0.495774854,0.164055556,0.488464912,0.328040936,0.048435673,0.335944444,0.046447368
children,0.188041667,0.490847222,0.194402778,0.491444444,0.311958333,0.048902778,0.305597222,0.04375
children,0.184777778,0.486319444,0.201388889,0.445916667,0.315222222,0.041875,0.298611111,0.062416667
children,0.131652778,0.496763889,0.171652778,0.480666667,0.368347222,0.069097222,0.328347222,0.040055556
children,0.190458333,0.492836257,0.168638889,0.498361111,0.309541667,0.047397661,0.331361111,0.030861111
children,0.045569444,0.505236111,0.166812865,0.500263889,0.454430556,0.019652778,0.324415205,0.020625
children,0.167402778,0.521569444,0.214777778,0.505736111,0.332597222,0.053486111,0.285222222,0.047736111
children,0.096339869,0.529444444,0.118084795,0.504619883,0.408562092,0.03748538,0.395073099,0.012660819
children,0.110347222,0.498569444,0.105833333,0.482777778,0.389652778,0.043375,0.394166667,0.044239766
children,0.215902778,0.48875,0.196263889,0.492305556,0.284097222,0.04587963,0.303736111,0.032916667
children,0.055888889,0.46425,0.072527778,0.490791667,0.444111111,0.080805556,0.427472222,0.078208333
children,0.249805556,0.499541667,0.163111111,0.528458333,0.250194444,0.020291667,0.336888889,0.054902778
children,0.046569444,0.457731481,0.068833333,0.524692982,0.453430556,0.046990741,0.431166667,0.026447368
children,0.110027778,0.494402778,0.139902778,0.497916667,0.389972222,0.037347222,0.360097222,0.0405
children,0.071916667,0.498972222,0.115958333,0.521444444,0.428083333,0.028305556,0.384041667,0.043638889
children,0.121888889,0.504652778,0.089111111,0.487652778,0.381444444,0.029930556,0.410888889,0.032263889
children,0.052277778,0.489444444,0.058375,0.508625,0.447722222,0.030350877,0.441625,0.023958333
children,0.057763889,0.501375,0.079458333,0.498763889,0.442236111,0.040930556,0.420541667,0.029069444
children,0.111583333,0.512388889,0.066236111,0.495666667,0.388416667,0.035638889,0.433763889,0.03275
children,0.051236111,0.478071895,0.06505848,0.51029321,0.448763889,0.019836601,0.43494152,0.012114198
children,0.058888889,0.494055556,0.088111111,0.499569444,0.441111111,0.037888889,0.411888889,0.034819444
children,0.060208333,0.493263889,0.077888889,0.501277778,0.443125,0.033263889,0.422111111,0.031527778
children,0.042958333,0.486885965,0.112541667,0.500069444,0.457041667,0.012324561,0.396291667,0.015152778
children,0.105291667,0.506402778,0.076680556,0.504972222,0.394708333,0.041763889,0.423319444,0.038361111
children,0.089888889,0.498708333,0.108263889,0.506972222,0.410111111,0.042097222,0.391736111,0.035194444
children,0.118069444,0.535833333,0.09025,0.485555556,0.381930556,0.043333333,0.40975,0.058527778
children,0.123875,0.507152778,0.105930556,0.474875,0.376125,0.061708333,0.394069444,0.040708333
adult,0.438263889,0.513148148,0.453645833,0.433888889,0.070069444,0.023518519,0.046354167,0.022555556
adult,0.254930556,0.367326389,0.028020833,0.138923611,0.247152778,0.141701389,0.471979167,0.361076389
adult,0.50484127,0.310617284,0.39297619,0.432045455,0.001111111,0.069012346,0.101071429,0.083106061
adult,0.48796875,0.486024306,0.501041667,0.499739583,0.68015625,0.667760417,0.290625,0.264114583
adult,0.532481481,0.489253472,0.565920139,0.487361111,0.244481481,0.133142361,0.200225694,0.087546296
adult,0.751232639,0.517777778,0.740225694,0.504982639,0.251232639,0.086909722,0.304809028,0.01015625
adult,0.519404762,0.48,0.519230769,0.500086806,0.022103175,0.004074074,0,0.001475694
adult,0.494565972,0.484814815,0.475376984,0.488535354,0.005434028,0.001481481,0.018670635,0.01530303
adult,0,0.499166667,0,0.493907407,0.5,0.208333333,0.508333333,0.015425926
adult,0.215381944,0.376666667,0.428385417,0.427814815,0.284618056,0.212291667,0.099739583,0.102259259
adult,0.500694444,0.5,0.516296296,0.53531746,0.000694444,0,0.00037037,0.000396825
adult,0.184166667,0.526440972,0.074791667,0.487407407,0.360277778,0.104253472,0.425208333,0.004074074
adult,0.271777778,0.37671875,0.305329861,0.44859375,0.371703704,0.199947917,0.211336806,0.116267361
adult,0.324666667,0.426388889,0.32258547,0.47510101,0.213333333,0.148888889,0.158183761,0.134494949
adult,0.4325,0.470337302,0.3978125,0.315873016,0.097261905,0.058829365,0.1021875,0.183730159
adult,0.5,0.5,0.51965812,0.488518519,0,0.000694444,0.00042735,0.001851852
adult,0.387309028,0.407100694,0.347981481,0.442996032,0.112690972,0.092899306,0.177574074,0.069543651
adult,0.516898148,0.512820513,0.525674603,0.488592593,0.024768519,0,0.020992063,0.001185185
adult,0.477465278,0.546055556,0.481631944,0.468730159,0.025659722,0.109759259,0.021493056,0.047936508
adult,0.453537037,0.479388889,0.485972222,0.506333333,0.035351852,0.077722222,0.015694444,0.021888889
adult,0.413296296,0.369513889,0.425982906,0.315972222,0.070037037,0.130486111,0.091965812,0.184027778
adult,0.482569444,0.495148148,0.506574074,0.495416667,0.017430556,0.01862963,0.012981481,0.013511905
adult,0.537878788,0.505555556,0.498928571,0.515407407,0.015151515,0.000396825,0.001071429,0.001259259
adult,0.279340278,0.525,0.25462963,0.313148148,0.220659722,0.002777778,0.256481481,0.20537037
adult,0.482962963,0.5,0.508333333,0.517037037,0.00037037,0.000694444,0.001388889,0.00037037
adult,0.48609375,0.478888889,0.477395833,0.489253472,0.01703125,0.021111111,0.022604167,0.015607639
adult,0.532777778,0.516296296,0.499305556,0.497916667,0.004920635,0.00037037,0.000694444,0.002083333
adult,0.525555556,0.409259259,0.440213675,0.458333333,0.0175,0.027777778,0.005940171,0
adult,0.500729167,0.489305556,0.510520833,0.488298611,0.029201389,0.013194444,0.015729167,0.012534722
adult,0.4945,0.49008547,0.444791667,0.392474747,0.058018519,0.008717949,0.067708333,0.060858586
adult,0.48859127,0.454851852,0.495850694,0.468385417,0.02906746,0.028481481,0.005538194,0.031614583
